"","Spelling","wlen","FreqCount","LogFreq(Zipf)","CD","DomPoS","DomPoSLemma","Spell_check","Hyphen","Double_word_entry"
"1","a",1,4809384,7.378,0.983,"determiner","a","UKUS",0,NA
"2","i",1,4343102,7.334,0.971,"pronoun","I","UKUS",0,NA
"3","s",1,3385674,7.225,0.981,"verb","be","UKUS",0,NA
"4","m",1,648543,6.508,0.831,"verb","be","UKUS",0,NA
"5","d",1,222578,6.043,0.675,"verb","would","UKUS",0,NA
"6","e",1,16147,4.904,0.163,"unclassified","e","UKUS",0,NA
"7","o",1,14043,4.843,0.108,"name","o","UKUS",0,NA
"8","b",1,10903,4.733,0.118,"name","b","UKUS",0,NA
"9","t",1,10636,4.723,0.123,"name","t","UKUS",0,NA
"10","c",1,7869,4.592,0.086,"name","c","UKUS",0,NA
"11","x",1,7236,4.555,0.078,"name","x","UKUS",0,NA
"12","y",1,6653,4.519,0.073,"name","y","UKUS",0,NA
"13","n",1,6592,4.515,0.076,"name","n","UKUS",0,NA
"14","p",1,5098,4.403,0.062,"name","p","UKUS",0,NA
"15","h",1,4828,4.38,0.052,"name","h","UKUS",0,NA
"16","r",1,3940,4.291,0.049,"name","r","UKUS",0,NA
"17","u",1,3930,4.29,0.049,"name","u","UKUS",0,NA
"18","g",1,3661,4.259,0.048,"name","g","UKUS",0,NA
"19","f",1,3293,4.213,0.049,"noun","f","UKUS",0,NA
"20","l",1,3053,4.181,0.039,"name","l","UKUS",0,NA
"21","v",1,2926,4.162,0.041,"name","v","UKUS",0,NA
"22","w",1,2710,4.129,0.037,"name","w","UKUS",0,NA
"23","j",1,2595,4.11,0.033,"name","j","UKUS",0,NA
"24","k",1,2266,4.051,0.029,"name","k","UKUS",0,NA
"25","z",1,1466,3.862,0.019,"name","z","UKUS",0,NA
"26","q",1,659,3.515,0.01,"name","q","UKUS",0,NA
"27","to",2,5327272,7.422,0.982,"marker","to","UKUS",0,NA
"28","it",2,4317835,7.331,0.981,"pronoun","it","UKUS",0,NA
"29","of",2,3779783,7.273,0.977,"preposition","of","UKUS",0,NA
"30","is",2,3047923,7.18,0.973,"verb","be","UKUS",0,NA
"31","in",2,2950040,7.166,0.977,"preposition","in","UKUS",0,NA
"32","we",2,2013550,7,0.971,"pronoun","we","UKUS",0,NA
"33","on",2,1569081,6.891,0.975,"preposition","on","UKUS",0,NA
"34","do",2,1441193,6.854,0.966,"verb","do","UKUS",0,NA
"35","he",2,1335537,6.821,0.93,"pronoun","he","UKUS",0,NA
"36","be",2,1283610,6.804,0.966,"verb","be","UKUS",0,NA
"37","so",2,987856,6.69,0.959,"adverb","so","UKUS",0,NA
"38","at",2,984810,6.689,0.962,"preposition","at","UKUS",0,NA
"39","as",2,817813,6.608,0.93,"preposition","as","UKUS",0,NA
"40","me",2,696518,6.539,0.918,"pronoun","i","UKUS",0,NA
